"","Length","Fecundity","OvaryMass"
"1",755,7225,452
"2",910,9700,1536
"3",780,6269,647
"4",880,10014,1869
"5",760,7433,862
"6",880,8456,1523
"7",855,7377,1042
"8",750,6527,794
"9",735,7816,871
"10",870,7814,944
"11",825,9549,1410
"12",850,7512,1402
"13",795,5532,754
"14",715,4990,510
"15",910,9799,1264
"16",770,6655,661
"17",735,6328,614
"18",755,6385,622
"19",735,4790,504
"20",730,4230,624
"21",755,5535,871
"22",830,7206,1189
"23",745,5600,787
"24",825,6871,757
"25",885,8135,1708
"26",800,7947,875
"27",910,9889,1479
"28",805,6237,887
"29",820,6441,1082
"30",905,7006,1292
"31",785,4902,751
"32",805,7742,1172
"33",840,8612,1596
"34",820,6547,901
"35",945,10281,2396
"36",835,5963,1175
"37",775,3898,627
"38",835,5801,658
"39",900,10547,2236
"40",855,7450,1642
"41",900,9341,1914
"42",908,8062,1292
"43",930,10872,2010
"44",965,12895,2646
"45",930,9524,1871
"46",935,10387,1844
"47",830,9781,762
"48",875,8337,1193
"49",890,9086,1249
"50",873,6996,828
"51",865,8811,1869
"52",950,8407,1999
"53",813,6705,940
"54",729,4431,351
"55",857,5655,1014
"56",777,5959,923
"57",910,9597,2291
"58",854,6649,834
"59",910,7241,1228
"60",777,5728,768
"61",840,9374,1214
"62",775,4557,840
"63",774,5591,840
"64",804,6425,1521
"65",789,6728,1019
"66",875,8828,1617
"67",776,4223,787
"68",910,10596,2107
"69",795,5168,1022
"70",765,5884,624
"71",892,9349,1594
"72",858,9975,1455
"73",753,4496,578
"74",813,6133,892
"75",834,7036,1236
"76",840,7512,1237
"77",832,8831,1347
"78",860,6560,1173
"79",850,5105,992
"80",887,7959,1087
"81",826,5618,1060
"82",960,11775,2180
"83",706,10921,994
"84",728,4343,650
"85",924,8638,1425
"86",770,7922,888
"87",988,12500,2698
"88",775,5048,665
"89",830,7986,1190
"90",844,7405,1093
"91",950,11372,2743
"92",833,8207,1108
"93",848,6135,1025
"94",846,8844,1004
"95",770,6949,965
"96",860,7668,1002
"97",792,7711,905
"98",805,6575,1180
"99",885,9186,1324
"100",780,4389,566
"101",770,7533,897
"102",895,7730,1392
"103",785,7286,887
"104",800,7518,1106
"105",804,7114,751
"106",890,8527,1097
"107",864,7690,1113
"108",820,6799,948
"109",885,11935,2196
"110",796,5863,828
"111",921,8389,1288
"112",930,8578,1669
"113",831,7037,1014
"114",769,7849,685
"115",800,6439,741
"116",870,7942,1031
"117",777,5171,544
"118",912,7841,1989
"119",800,7139,745
"120",771,7474,1015
"121",790,8352,984
"122",890,9082,1847
"123",894,8317,1424
"124",892,8666,1300
"125",788,6968,1230
"126",849,7453,1030
"127",850,8384,1137
"128",782,6585,980
"129",790,3900,551
"130",770,7283,867
"131",714,5105,462
"132",760,6631,598
"133",769,7268,867
"134",860,7993,1415
"135",752,6483,679
"136",736,7849,1046
"137",830,6284,1056
"138",780,4668,755
"139",780,7946,874
"140",835,6884,1327
